creator_id,platform,name,channel_id,country,language,category,subscribers,avg_views,engagement_rate,recent_video_ids,last_30d_uploads
creator_15,youtube,Creator 15,UC000015438,ID,en,Tech,23999,1381,0.03501862373081974,"['vid_15_0', 'vid_15_1', 'vid_15_2', 'vid_15_3', 'vid_15_4', 'vid_15_5', 'vid_15_6']",3
creator_16,youtube,Creator 16,UC000016279,DE,ms,AI,125695,9983,0.10868224543956799,"['vid_16_0', 'vid_16_1', 'vid_16_2', 'vid_16_3', 'vid_16_4']",4
creator_17,youtube,Creator 17,UC000017670,DE,en,Gaming,340977,28663,0.022783541160956395,"['vid_17_0', 'vid_17_1', 'vid_17_2', 'vid_17_3', 'vid_17_4', 'vid_17_5']",2
creator_18,youtube,Creator 18,UC000018563,IN,en,Design,356546,39324,0.08040108378124354,"['vid_18_0', 'vid_18_1']",3
creator_19,youtube,Creator 19,UC000019950,ID,en,Gaming,106779,23932,0.13477090582148357,"['vid_19_0', 'vid_19_1', 'vid_19_2', 'vid_19_3', 'vid_19_4']",13
creator_20,youtube,Creator 20,UC000020384,DE,zh,Education,288258,101126,0.10942340620825244,"['vid_20_0', 'vid_20_1', 'vid_20_2']",3
creator_21,youtube,Creator 21,UC000021300,IN,ms,Education,140776,47855,0.10166571336123134,"['vid_21_0', 'vid_21_1', 'vid_21_2', 'vid_21_3', 'vid_21_4', 'vid_21_5', 'vid_21_6']",11
creator_22,youtube,Creator 22,UC000022711,ID,ms,AI,91037,23847,0.015694823916408966,"['vid_22_0', 'vid_22_1', 'vid_22_2']",10
creator_23,youtube,Creator 23,UC000023835,US,en,Education,40989,12217,0.03139168877722959,"['vid_23_0', 'vid_23_1', 'vid_23_2', 'vid_23_3']",2
creator_24,youtube,Creator 24,UC000024996,GB,id,Gaming,169275,25913,0.07692093811895849,"['vid_24_0', 'vid_24_1', 'vid_24_2', 'vid_24_3', 'vid_24_4']",4
creator_25,youtube,Creator 25,UC000025207,IN,en,Design,377863,38282,0.03342519804527512,"['vid_25_0', 'vid_25_1', 'vid_25_2', 'vid_25_3', 'vid_25_4', 'vid_25_5']",4
creator_26,youtube,Creator 26,UC000026940,MY,id,Tech,304954,100695,0.1402761164149471,"['vid_26_0', 'vid_26_1']",6
creator_27,youtube,Creator 27,UC000027707,MY,id,Tech,6551,708,0.06569088885034345,"['vid_27_0', 'vid_27_1', 'vid_27_2']",2
creator_28,youtube,Creator 28,UC000028846,DE,en,Tech,168486,24264,0.1199306408494502,"['vid_28_0', 'vid_28_1']",12
creator_29,youtube,Creator 29,UC000029904,SG,ms,Tech,117825,41042,0.015440105247853372,"['vid_29_0', 'vid_29_1', 'vid_29_2', 'vid_29_3', 'vid_29_4', 'vid_29_5']",7
creator_30,youtube,Creator 30,UC000030770,GB,ms,Gaming,145321,52969,0.13595429546969004,"['vid_30_0', 'vid_30_1', 'vid_30_2', 'vid_30_3', 'vid_30_4', 'vid_30_5', 'vid_30_6']",7
creator_31,youtube,Creator 31,UC000031410,SG,en,AI,492311,54313,0.07810884774745251,"['vid_31_0', 'vid_31_1', 'vid_31_2']",6
creator_32,youtube,Creator 32,UC000032166,US,ms,Education,105469,38709,0.09483047952067854,"['vid_32_0', 'vid_32_1', 'vid_32_2', 'vid_32_3']",15
creator_33,youtube,Creator 33,UC000033920,US,id,Tech,435890,139322,0.0372001055398023,"['vid_33_0', 'vid_33_1']",15
creator_34,youtube,Creator 34,UC000034337,SG,id,Design,50294,12983,0.09747123333863027,"['vid_34_0', 'vid_34_1']",14
creator_35,youtube,Creator 35,UC000035445,MY,en,Education,147864,27334,0.09574476220146341,"['vid_35_0', 'vid_35_1', 'vid_35_2', 'vid_35_3', 'vid_35_4', 'vid_35_5']",0
creator_36,youtube,Creator 36,UC000036978,SG,en,AI,228033,21072,0.05283808859476546,"['vid_36_0', 'vid_36_1', 'vid_36_2', 'vid_36_3', 'vid_36_4', 'vid_36_5']",8
creator_37,youtube,Creator 37,UC000037582,MY,en,Gaming,106073,35051,0.13604842109603857,"['vid_37_0', 'vid_37_1', 'vid_37_2', 'vid_37_3']",0
creator_38,youtube,Creator 38,UC000038410,ID,en,Tech,351265,47984,0.12401438411298381,"['vid_38_0', 'vid_38_1', 'vid_38_2', 'vid_38_3']",15
creator_39,youtube,Creator 39,UC000039313,SG,en,Gaming,47493,15598,0.04061767510005077,"['vid_39_0', 'vid_39_1', 'vid_39_2']",9
creator_40,youtube,Creator 40,UC000040777,MY,zh,Gaming,207747,55635,0.05927540461558973,"['vid_40_0', 'vid_40_1', 'vid_40_2', 'vid_40_3', 'vid_40_4', 'vid_40_5']",4
creator_41,youtube,Creator 41,UC000041617,US,zh,Education,272864,48793,0.14138917557450598,"['vid_41_0', 'vid_41_1', 'vid_41_2', 'vid_41_3', 'vid_41_4']",4
creator_42,youtube,Creator 42,UC000042656,US,en,Gaming,396130,124084,0.0795242551134763,"['vid_42_0', 'vid_42_1', 'vid_42_2']",10
creator_43,youtube,Creator 43,UC000043335,IN,zh,AI,486224,157388,0.11612540897038674,"['vid_43_0', 'vid_43_1', 'vid_43_2', 'vid_43_3', 'vid_43_4', 'vid_43_5']",12
creator_44,youtube,Creator 44,UC000044327,IN,en,Tech,260037,32751,0.08660368442038256,"['vid_44_0', 'vid_44_1', 'vid_44_2', 'vid_44_3', 'vid_44_4', 'vid_44_5']",4
creator_45,youtube,Creator 45,UC000045615,GB,id,Education,329978,17598,0.05051517991780762,"['vid_45_0', 'vid_45_1', 'vid_45_2', 'vid_45_3', 'vid_45_4', 'vid_45_5']",7
creator_46,youtube,Creator 46,UC000046372,ID,ms,Tech,440408,35672,0.12582193385514842,"['vid_46_0', 'vid_46_1', 'vid_46_2']",11
creator_47,youtube,Creator 47,UC000047289,DE,ms,Design,235930,33753,0.04454964815675507,"['vid_47_0', 'vid_47_1', 'vid_47_2', 'vid_47_3']",6
creator_48,youtube,Creator 48,UC000048369,ID,en,AI,319615,47032,0.1325400549949495,"['vid_48_0', 'vid_48_1', 'vid_48_2']",9
creator_49,youtube,Creator 49,UC000049570,US,id,AI,51021,10295,0.056201599168579475,"['vid_49_0', 'vid_49_1', 'vid_49_2', 'vid_49_3', 'vid_49_4', 'vid_49_5']",15
creator_50,youtube,Creator 50,UC000050219,US,zh,Gaming,466227,186074,0.14607094378462102,"['vid_50_0', 'vid_50_1', 'vid_50_2', 'vid_50_3']",1
creator_51,youtube,Creator 51,UC000051846,US,id,Gaming,26796,10027,0.09193560541661185,"['vid_51_0', 'vid_51_1', 'vid_51_2', 'vid_51_3', 'vid_51_4', 'vid_51_5']",5
creator_52,youtube,Creator 52,UC000052606,SG,ms,Education,116290,15148,0.055486004290403526,"['vid_52_0', 'vid_52_1', 'vid_52_2']",7
creator_53,youtube,Creator 53,UC000053295,US,en,AI,406421,115136,0.04323560939616957,"['vid_53_0', 'vid_53_1', 'vid_53_2', 'vid_53_3', 'vid_53_4', 'vid_53_5']",10
creator_54,youtube,Creator 54,UC000054732,GB,en,Tech,234123,85330,0.07170985217253938,"['vid_54_0', 'vid_54_1', 'vid_54_2', 'vid_54_3', 'vid_54_4', 'vid_54_5', 'vid_54_6']",15
creator_55,youtube,Creator 55,UC000055979,DE,ms,Education,119330,10830,0.025298151180643026,"['vid_55_0', 'vid_55_1', 'vid_55_2', 'vid_55_3', 'vid_55_4', 'vid_55_5', 'vid_55_6']",15
creator_56,youtube,Creator 56,UC000056426,US,zh,Tech,323515,80799,0.13685709037953314,"['vid_56_0', 'vid_56_1']",8
creator_57,youtube,Creator 57,UC000057328,ID,en,Gaming,232461,57982,0.1271822385572204,"['vid_57_0', 'vid_57_1', 'vid_57_2', 'vid_57_3', 'vid_57_4']",2
creator_58,youtube,Creator 58,UC000058556,IN,en,Education,71942,19552,0.14816498133152095,"['vid_58_0', 'vid_58_1', 'vid_58_2', 'vid_58_3', 'vid_58_4', 'vid_58_5']",14
creator_59,youtube,Creator 59,UC000059569,US,en,Tech,43680,15224,0.131354574835438,"['vid_59_0', 'vid_59_1', 'vid_59_2', 'vid_59_3', 'vid_59_4', 'vid_59_5', 'vid_59_6']",2
creator_60,youtube,Creator 60,UC000060652,MY,en,Gaming,83612,14653,0.02185130399752558,"['vid_60_0', 'vid_60_1']",8
creator_61,youtube,Creator 61,UC000061338,ID,ms,Education,431200,111814,0.03631426839754017,"['vid_61_0', 'vid_61_1', 'vid_61_2', 'vid_61_3']",4
creator_62,youtube,Creator 62,UC000062496,DE,en,Design,34795,6026,0.11789854215573127,"['vid_62_0', 'vid_62_1']",13
creator_63,youtube,Creator 63,UC000063984,GB,en,Tech,229894,68519,0.11805480237608222,"['vid_63_0', 'vid_63_1', 'vid_63_2', 'vid_63_3', 'vid_63_4']",7
creator_64,youtube,Creator 64,UC000064304,US,zh,AI,486715,41789,0.028812567206834325,"['vid_64_0', 'vid_64_1', 'vid_64_2', 'vid_64_3', 'vid_64_4', 'vid_64_5']",1
creator_65,youtube,Creator 65,UC000065664,GB,ms,AI,111165,5655,0.1293224710320596,"['vid_65_0', 'vid_65_1', 'vid_65_2', 'vid_65_3', 'vid_65_4', 'vid_65_5']",10
creator_66,youtube,Creator 66,UC000066892,US,en,Tech,496087,64976,0.07768358627405844,"['vid_66_0', 'vid_66_1']",7
creator_67,youtube,Creator 67,UC000067673,MY,id,AI,264844,40486,0.1442269130137814,"['vid_67_0', 'vid_67_1', 'vid_67_2', 'vid_67_3', 'vid_67_4']",9
creator_68,youtube,Creator 68,UC000068528,US,en,Gaming,79987,25970,0.06933981603976577,"['vid_68_0', 'vid_68_1']",1
creator_69,youtube,Creator 69,UC000069946,GB,en,Tech,272070,71425,0.1054382589493991,"['vid_69_0', 'vid_69_1', 'vid_69_2', 'vid_69_3', 'vid_69_4']",2
creator_70,youtube,Creator 70,UC000070403,DE,zh,Gaming,209019,28432,0.10550927250391194,"['vid_70_0', 'vid_70_1', 'vid_70_2', 'vid_70_3', 'vid_70_4']",0
creator_71,youtube,Creator 71,UC000071538,MY,id,Design,240723,89938,0.12225205845307789,"['vid_71_0', 'vid_71_1']",9
creator_72,youtube,Creator 72,UC000072217,GB,id,Design,289736,115812,0.08528753930644294,"['vid_72_0', 'vid_72_1', 'vid_72_2', 'vid_72_3', 'vid_72_4', 'vid_72_5']",10
creator_73,youtube,Creator 73,UC000073856,IN,zh,Design,101921,22200,0.13854670547057157,"['vid_73_0', 'vid_73_1', 'vid_73_2', 'vid_73_3']",4
creator_74,youtube,Creator 74,UC000074586,ID,en,Tech,357287,23732,0.13104051644346193,"['vid_74_0', 'vid_74_1']",3
creator_75,youtube,Creator 75,UC000075280,US,zh,Design,52885,11887,0.08810090912794016,"['vid_75_0', 'vid_75_1', 'vid_75_2', 'vid_75_3', 'vid_75_4', 'vid_75_5']",2
creator_76,youtube,Creator 76,UC000076133,SG,zh,AI,463879,174819,0.03259588221602532,"['vid_76_0', 'vid_76_1']",5
creator_77,youtube,Creator 77,UC000077165,IN,en,AI,360058,41594,0.12598597356073105,"['vid_77_0', 'vid_77_1', 'vid_77_2', 'vid_77_3']",13
creator_78,youtube,Creator 78,UC000078799,SG,id,Tech,109246,36554,0.08650746513282488,"['vid_78_0', 'vid_78_1', 'vid_78_2', 'vid_78_3', 'vid_78_4']",6
creator_79,youtube,Creator 79,UC000079202,ID,id,AI,167346,32256,0.038210725531803345,"['vid_79_0', 'vid_79_1']",3
creator_80,youtube,Creator 80,UC000080544,DE,id,Education,69048,10540,0.12060792293444961,"['vid_80_0', 'vid_80_1', 'vid_80_2', 'vid_80_3', 'vid_80_4', 'vid_80_5', 'vid_80_6']",10
creator_81,youtube,Creator 81,UC000081408,SG,en,Tech,478342,26950,0.05314156165980859,"['vid_81_0', 'vid_81_1', 'vid_81_2', 'vid_81_3', 'vid_81_4', 'vid_81_5']",15
creator_82,youtube,Creator 82,UC000082442,SG,zh,Gaming,322119,52367,0.010942228260939572,"['vid_82_0', 'vid_82_1', 'vid_82_2', 'vid_82_3']",15
creator_83,youtube,Creator 83,UC000083603,MY,en,Design,268701,90334,0.13156000302153764,"['vid_83_0', 'vid_83_1', 'vid_83_2', 'vid_83_3']",13
creator_84,youtube,Creator 84,UC000084427,GB,zh,Design,161233,49038,0.09839951020748201,"['vid_84_0', 'vid_84_1', 'vid_84_2']",14
creator_85,youtube,Creator 85,UC000085983,DE,en,Design,77909,17946,0.07537994058277751,"['vid_85_0', 'vid_85_1', 'vid_85_2', 'vid_85_3']",10
creator_86,youtube,Creator 86,UC000086851,US,en,Design,270580,65221,0.11550243704951284,"['vid_86_0', 'vid_86_1', 'vid_86_2', 'vid_86_3', 'vid_86_4', 'vid_86_5']",10
creator_87,youtube,Creator 87,UC000087391,MY,id,Tech,206630,72151,0.10564287342295878,"['vid_87_0', 'vid_87_1', 'vid_87_2']",7
creator_88,youtube,Creator 88,UC000088116,US,id,Tech,205261,70635,0.11796201031497028,"['vid_88_0', 'vid_88_1', 'vid_88_2', 'vid_88_3', 'vid_88_4']",6
creator_89,youtube,Creator 89,UC000089940,DE,en,Tech,342700,65324,0.10936399841470938,"['vid_89_0', 'vid_89_1', 'vid_89_2', 'vid_89_3', 'vid_89_4', 'vid_89_5']",1
creator_90,youtube,Creator 90,UC000090859,IN,en,Gaming,325841,78935,0.010103840065602368,"['vid_90_0', 'vid_90_1', 'vid_90_2', 'vid_90_3', 'vid_90_4', 'vid_90_5', 'vid_90_6']",12
creator_91,youtube,Creator 91,UC000091342,DE,en,Design,306516,43832,0.0548976017055798,"['vid_91_0', 'vid_91_1', 'vid_91_2', 'vid_91_3']",15
creator_92,youtube,Creator 92,UC000092533,US,en,AI,266392,37000,0.030098105534587923,"['vid_92_0', 'vid_92_1', 'vid_92_2', 'vid_92_3', 'vid_92_4', 'vid_92_5']",11
creator_93,youtube,Creator 93,UC000093100,SG,en,Gaming,11008,4377,0.12254652181750045,"['vid_93_0', 'vid_93_1', 'vid_93_2']",5
creator_94,youtube,Creator 94,UC000094506,MY,id,AI,162546,37359,0.02847039968604477,"['vid_94_0', 'vid_94_1']",13
creator_95,youtube,Creator 95,UC000095514,DE,zh,AI,388627,113513,0.0448583280686793,"['vid_95_0', 'vid_95_1', 'vid_95_2', 'vid_95_3', 'vid_95_4', 'vid_95_5']",14
creator_96,youtube,Creator 96,UC000096989,SG,id,Tech,68487,9834,0.03652484735592118,"['vid_96_0', 'vid_96_1', 'vid_96_2', 'vid_96_3', 'vid_96_4']",14
creator_97,youtube,Creator 97,UC000097955,MY,en,Gaming,159626,25126,0.06795087749047894,"['vid_97_0', 'vid_97_1', 'vid_97_2', 'vid_97_3', 'vid_97_4', 'vid_97_5', 'vid_97_6']",0
creator_98,youtube,Creator 98,UC000098278,IN,zh,Design,455804,138384,0.020398365305355888,"['vid_98_0', 'vid_98_1', 'vid_98_2']",5
creator_99,youtube,Creator 99,UC000099265,GB,en,AI,432726,124924,0.0627853949060485,"['vid_99_0', 'vid_99_1', 'vid_99_2', 'vid_99_3', 'vid_99_4']",1
creator_100,youtube,Creator 100,UC000100876,SG,en,Tech,296485,57862,0.09651751849202482,"['vid_100_0', 'vid_100_1']",10
creator_101,youtube,Creator 101,UC000101150,US,en,Gaming,266897,55825,0.022612684091948436,"['vid_101_0', 'vid_101_1', 'vid_101_2', 'vid_101_3', 'vid_101_4', 'vid_101_5']",11
creator_102,youtube,Creator 102,UC000102202,ID,en,Tech,281122,106986,0.14322010267895427,"['vid_102_0', 'vid_102_1']",12
creator_103,youtube,Creator 103,UC000103687,US,id,Design,37312,14125,0.037514707742244024,"['vid_103_0', 'vid_103_1']",11
creator_104,youtube,Creator 104,UC000104582,IN,id,Gaming,384156,96640,0.13069090993457327,"['vid_104_0', 'vid_104_1', 'vid_104_2', 'vid_104_3', 'vid_104_4', 'vid_104_5']",9
creator_105,youtube,Creator 105,UC000105927,SG,en,Education,341097,45012,0.14501120150347258,"['vid_105_0', 'vid_105_1', 'vid_105_2', 'vid_105_3', 'vid_105_4']",7
creator_106,youtube,Creator 106,UC000106877,US,ms,Tech,128015,41286,0.08062898376282064,"['vid_106_0', 'vid_106_1', 'vid_106_2', 'vid_106_3', 'vid_106_4', 'vid_106_5', 'vid_106_6']",0
creator_107,youtube,Creator 107,UC000107619,MY,en,Tech,109777,39316,0.0513242799536067,"['vid_107_0', 'vid_107_1', 'vid_107_2', 'vid_107_3']",12
creator_108,youtube,Creator 108,UC000108434,ID,en,Tech,483248,164372,0.1431155806001349,"['vid_108_0', 'vid_108_1', 'vid_108_2']",4
creator_109,youtube,Creator 109,UC000109923,ID,en,Gaming,80668,23891,0.08844518307099744,"['vid_109_0', 'vid_109_1', 'vid_109_2']",14
creator_110,youtube,Creator 110,UC000110756,IN,id,Design,416474,152653,0.04563022793076491,"['vid_110_0', 'vid_110_1', 'vid_110_2']",13
creator_111,youtube,Creator 111,UC000111431,DE,en,Education,167609,52422,0.12365205575087578,"['vid_111_0', 'vid_111_1', 'vid_111_2']",11
creator_112,youtube,Creator 112,UC000112975,GB,id,Gaming,472719,125940,0.07931958061121645,"['vid_112_0', 'vid_112_1', 'vid_112_2', 'vid_112_3', 'vid_112_4']",13
creator_113,youtube,Creator 113,UC000113835,IN,id,AI,216302,84929,0.058295730225524596,"['vid_113_0', 'vid_113_1', 'vid_113_2', 'vid_113_3', 'vid_113_4', 'vid_113_5']",13
creator_114,youtube,Creator 114,UC000114530,DE,id,Gaming,281595,31278,0.09876854551134172,"['vid_114_0', 'vid_114_1', 'vid_114_2', 'vid_114_3', 'vid_114_4']",14
creator_115,youtube,Creator 115,UC000115760,GB,en,Gaming,397763,85487,0.10012706561897762,"['vid_115_0', 'vid_115_1', 'vid_115_2', 'vid_115_3']",1
creator_116,youtube,Creator 116,UC000116787,SG,en,Education,365920,23344,0.07335104299758592,"['vid_116_0', 'vid_116_1', 'vid_116_2', 'vid_116_3']",3
creator_117,youtube,Creator 117,UC000117916,MY,en,Gaming,94877,6197,0.12742029459609158,"['vid_117_0', 'vid_117_1', 'vid_117_2', 'vid_117_3', 'vid_117_4']",5
creator_118,youtube,Creator 118,UC000118534,ID,id,Tech,287269,84302,0.027072151293091685,"['vid_118_0', 'vid_118_1', 'vid_118_2', 'vid_118_3', 'vid_118_4']",11
creator_119,youtube,Creator 119,UC000119326,SG,en,Tech,208971,82964,0.12156083728156988,"['vid_119_0', 'vid_119_1', 'vid_119_2', 'vid_119_3', 'vid_119_4', 'vid_119_5']",1
creator_120,youtube,Creator 120,UC000120862,IN,zh,Design,425720,136190,0.03703204739393022,"['vid_120_0', 'vid_120_1', 'vid_120_2', 'vid_120_3']",15
creator_121,youtube,Creator 121,UC000121245,SG,en,Education,97089,12789,0.10762097805929516,"['vid_121_0', 'vid_121_1', 'vid_121_2', 'vid_121_3', 'vid_121_4', 'vid_121_5']",9
creator_122,youtube,Creator 122,UC000122850,ID,zh,Gaming,260163,44821,0.07990429645673915,"['vid_122_0', 'vid_122_1']",9
creator_123,youtube,Creator 123,UC000123256,GB,id,Gaming,146021,27235,0.0877925830481494,"['vid_123_0', 'vid_123_1', 'vid_123_2', 'vid_123_3']",8
creator_124,youtube,Creator 124,UC000124879,ID,id,Gaming,201794,37958,0.056260274916343896,"['vid_124_0', 'vid_124_1', 'vid_124_2', 'vid_124_3', 'vid_124_4', 'vid_124_5']",3
creator_125,youtube,Creator 125,UC000125100,IN,id,Design,19007,6935,0.01612771252241738,"['vid_125_0', 'vid_125_1', 'vid_125_2', 'vid_125_3', 'vid_125_4', 'vid_125_5', 'vid_125_6']",15
creator_126,youtube,Creator 126,UC000126250,GB,en,Gaming,416995,35888,0.12905979743972237,"['vid_126_0', 'vid_126_1', 'vid_126_2', 'vid_126_3', 'vid_126_4', 'vid_126_5']",9
creator_127,youtube,Creator 127,UC000127980,IN,zh,Tech,225809,47948,0.14669324375922815,"['vid_127_0', 'vid_127_1', 'vid_127_2', 'vid_127_3', 'vid_127_4']",10
creator_128,youtube,Creator 128,UC000128397,ID,en,Tech,112775,40546,0.07591703788847595,"['vid_128_0', 'vid_128_1', 'vid_128_2', 'vid_128_3', 'vid_128_4', 'vid_128_5']",11
creator_129,youtube,Creator 129,UC000129143,US,en,AI,401606,148393,0.1267354822324259,"['vid_129_0', 'vid_129_1', 'vid_129_2']",7
creator_130,youtube,Creator 130,UC000130213,ID,zh,Tech,108887,16753,0.1356053229229695,"['vid_130_0', 'vid_130_1', 'vid_130_2', 'vid_130_3']",6
creator_131,youtube,Creator 131,UC000131234,DE,en,Gaming,272134,14762,0.0733851426930243,"['vid_131_0', 'vid_131_1', 'vid_131_2', 'vid_131_3', 'vid_131_4']",14
creator_132,youtube,Creator 132,UC000132502,SG,en,Gaming,427175,137204,0.11419895912232195,"['vid_132_0', 'vid_132_1', 'vid_132_2']",7
creator_133,youtube,Creator 133,UC000133611,SG,zh,Tech,20796,3634,0.08185425040493652,"['vid_133_0', 'vid_133_1', 'vid_133_2']",4
creator_134,youtube,Creator 134,UC000134721,GB,en,Design,440193,111497,0.027133683839154092,"['vid_134_0', 'vid_134_1', 'vid_134_2', 'vid_134_3', 'vid_134_4']",4
creator_135,youtube,Creator 135,UC000135626,DE,en,Design,455329,146181,0.12996239038990373,"['vid_135_0', 'vid_135_1', 'vid_135_2', 'vid_135_3', 'vid_135_4', 'vid_135_5', 'vid_135_6']",2
creator_136,youtube,Creator 136,UC000136846,SG,en,Gaming,178492,18082,0.10420730595545216,"['vid_136_0', 'vid_136_1', 'vid_136_2', 'vid_136_3', 'vid_136_4']",13
creator_137,youtube,Creator 137,UC000137206,SG,zh,Gaming,219477,83364,0.09586565249254596,"['vid_137_0', 'vid_137_1']",4
creator_138,youtube,Creator 138,UC000138561,GB,ms,Design,227458,14781,0.11696333716440316,"['vid_138_0', 'vid_138_1']",7
creator_139,youtube,Creator 139,UC000139505,DE,en,Tech,490307,58242,0.11621839321555336,"['vid_139_0', 'vid_139_1', 'vid_139_2', 'vid_139_3', 'vid_139_4', 'vid_139_5', 'vid_139_6']",3
creator_140,youtube,Creator 140,UC000140325,MY,ms,Education,63120,16717,0.09774688478477156,"['vid_140_0', 'vid_140_1', 'vid_140_2', 'vid_140_3', 'vid_140_4', 'vid_140_5', 'vid_140_6']",8
creator_141,youtube,Creator 141,UC000141280,GB,ms,Education,231164,23092,0.03518090342484284,"['vid_141_0', 'vid_141_1', 'vid_141_2', 'vid_141_3', 'vid_141_4', 'vid_141_5', 'vid_141_6']",5
creator_142,youtube,Creator 142,UC000142852,US,en,Education,403849,160195,0.098785102410038,"['vid_142_0', 'vid_142_1', 'vid_142_2', 'vid_142_3']",11
creator_143,youtube,Creator 143,UC000143305,GB,ms,Gaming,168924,46073,0.07017911202896358,"['vid_143_0', 'vid_143_1', 'vid_143_2', 'vid_143_3', 'vid_143_4', 'vid_143_5', 'vid_143_6']",2
creator_144,youtube,Creator 144,UC000144992,MY,en,AI,306720,99222,0.027306600501230606,"['vid_144_0', 'vid_144_1']",5
creator_145,youtube,Creator 145,UC000145230,GB,en,Gaming,300657,93905,0.0223274436325845,"['vid_145_0', 'vid_145_1', 'vid_145_2', 'vid_145_3']",0
creator_146,youtube,Creator 146,UC000146259,DE,zh,Education,101945,34633,0.09049408675304864,"['vid_146_0', 'vid_146_1', 'vid_146_2', 'vid_146_3', 'vid_146_4']",12
creator_147,youtube,Creator 147,UC000147420,US,zh,Tech,36591,12542,0.13184184407543084,"['vid_147_0', 'vid_147_1']",9
creator_148,youtube,Creator 148,UC000148243,US,zh,Gaming,70383,25136,0.09749514460632526,"['vid_148_0', 'vid_148_1', 'vid_148_2', 'vid_148_3', 'vid_148_4', 'vid_148_5', 'vid_148_6']",8
creator_149,youtube,Creator 149,UC000149593,DE,en,Gaming,380886,39124,0.14265907656021012,"['vid_149_0', 'vid_149_1']",13
creator_150,youtube,Creator 150,UC000150990,DE,zh,Tech,270688,62772,0.054561505790074724,"['vid_150_0', 'vid_150_1', 'vid_150_2', 'vid_150_3', 'vid_150_4', 'vid_150_5']",14
creator_151,youtube,Creator 151,UC000151352,IN,en,Tech,186012,9491,0.021335699467558627,"['vid_151_0', 'vid_151_1', 'vid_151_2', 'vid_151_3']",15
creator_152,youtube,Creator 152,UC000152309,DE,id,Gaming,470570,62553,0.13392832907689872,"['vid_152_0', 'vid_152_1', 'vid_152_2', 'vid_152_3']",7
creator_153,youtube,Creator 153,UC000153430,MY,en,Education,234368,35473,0.12439802724931229,"['vid_153_0', 'vid_153_1', 'vid_153_2']",11
creator_154,youtube,Creator 154,UC000154559,IN,id,Education,254616,55162,0.10234715381468913,"['vid_154_0', 'vid_154_1', 'vid_154_2', 'vid_154_3', 'vid_154_4', 'vid_154_5', 'vid_154_6']",9
creator_155,youtube,Creator 155,UC000155639,US,ms,Gaming,248032,61515,0.11601811565809203,"['vid_155_0', 'vid_155_1']",8
